generation,avg_unshaped_r,avg_shaped_r,avg_length,max_unshaped_r,max_shaped_r,sigma
1,-0.7000,-5.3572,175.50,0.1000,-0.1100,0.0950
2,-0.1449,-2.9600,175.27,2.1000,8.4395,0.0902
3,0.3449,0.0176,176.90,2.1000,8.1485,0.0993
4,0.2837,-0.4923,177.10,2.1000,9.1195,0.0943
5,0.3041,-0.1588,173.33,3.1000,12.2585,0.0896
6,0.6102,1.2353,154.49,2.1000,9.3450,0.0986
7,0.5490,0.8161,166.39,2.1000,8.9180,0.1084
8,0.9776,2.3817,161.73,2.1000,8.9995,0.1030
9,1.0592,2.7570,163.27,3.1000,9.6285,0.0978
10,1.0592,2.6413,167.00,2.1000,9.1365,0.1076
11,0.9980,1.6586,177.29,3.1000,9.5415,0.1022
12,0.9367,1.9651,164.76,2.1000,9.2965,0.1125
13,1.3449,3.3093,158.10,3.1000,9.7980,0.1068
14,1.2224,3.1998,155.96,3.1000,9.8585,0.1015
15,1.1204,2.5562,169.06,3.1000,9.0680,0.1117
16,1.3449,3.3566,166.18,3.1000,9.9960,0.1061
17,1.2224,2.5120,178.00,3.1000,11.1945,0.1008
18,1.4673,3.5806,158.37,2.1000,9.4850,0.1108
19,1.5490,4.4282,156.51,4.1000,13.7385,0.1053
20,1.4673,3.5391,165.10,2.1000,9.2840,0.1158
21,1.4265,3.5774,165.80,3.1000,10.8790,0.1100
22,1.3449,4.0140,157.82,3.1000,10.2315,0.1210
23,1.3245,3.9810,166.29,3.1000,10.5725,0.1150
24,1.4469,3.9606,156.27,3.1000,10.2520,0.1265
25,1.2837,3.0156,166.10,3.1000,10.4850,0.1202
26,1.3041,2.8940,175.43,3.1000,9.8405,0.1322
27,1.2020,3.1379,161.39,2.1000,9.7700,0.1454
28,1.3449,2.9653,153.65,2.1000,9.4675,0.1599
29,1.3245,2.7789,169.22,3.1000,11.3250,0.1519
30,1.2224,2.3459,160.10,3.1000,11.4105,0.1443
31,1.6510,4.0388,174.39,3.1000,11.4135,0.1371
32,1.1000,2.9096,156.39,2.1000,9.1670,0.1508
33,1.5898,3.9823,173.35,3.1000,11.3060,0.1433
34,1.3245,3.5235,163.24,3.1000,8.7050,0.1576
35,1.2633,3.3217,148.02,3.1000,10.4120,0.1497
36,1.0592,2.7897,151.27,3.1000,10.8860,0.1423
37,1.3857,3.3021,175.04,2.1000,9.4020,0.1565
38,0.8755,1.4613,177.04,3.1000,11.6475,0.1487
39,1.5898,4.8878,167.76,3.1000,13.3430,0.1412
40,1.1000,3.2315,162.41,2.1000,10.0880,0.1554
41,1.1612,2.6129,159.08,3.1000,10.2755,0.1476
42,1.4061,4.0533,157.69,3.1000,11.4630,0.1402
43,1.1816,3.6886,155.16,3.1000,10.0280,0.1542
44,1.4469,4.0665,161.90,3.1000,12.2360,0.1465
45,1.3653,3.8855,169.98,4.1000,15.0605,0.1392
46,1.2837,3.4698,165.78,3.1000,10.5585,0.1531
47,1.2837,3.4236,167.94,3.1000,10.7355,0.1455
48,1.6306,4.3781,170.10,4.1000,15.7890,0.1382
49,1.4878,4.8271,152.92,3.1000,9.7825,0.1520
50,1.3449,3.7884,153.02,4.1000,14.8350,0.1444
51,1.4878,3.9119,168.73,3.1000,10.7810,0.1588
52,1.5082,3.6682,172.14,3.1000,11.6300,0.1509
53,1.5286,3.9641,157.02,3.1000,11.5365,0.1660
54,1.6510,4.2815,170.41,3.1000,11.5830,0.1577
55,1.5286,3.8851,164.71,3.1000,10.7490,0.1735
56,1.5490,3.9375,169.80,3.1000,10.7060,0.1908
57,1.3857,3.4007,174.67,4.1000,12.9630,0.1813
58,1.6102,4.4635,168.33,4.1000,13.2800,0.1722
59,1.3857,3.3771,164.57,2.1000,9.0460,0.1894
60,1.2633,3.2476,154.78,3.1000,10.9360,0.1799
61,1.1408,2.5239,175.86,3.1000,12.1925,0.1709
62,1.2837,3.7884,161.06,3.1000,10.9765,0.1880
63,1.4265,4.0256,173.73,3.1000,13.0305,0.1786
64,1.1000,2.5058,174.02,3.1000,11.4730,0.1965
65,1.3449,2.9339,182.00,3.1000,13.7570,0.1867
66,1.2224,2.3709,167.45,3.1000,11.1705,0.2053
67,1.3245,3.1603,182.39,3.1000,9.7480,0.2259
68,1.4061,4.3282,163.31,3.1000,12.9250,0.2146
69,1.1816,3.0857,181.80,3.1000,12.8710,0.2360
70,1.1204,2.9697,168.00,4.1000,13.9510,0.2242
71,1.1408,2.7127,167.84,2.1000,9.5925,0.2467
72,0.9980,2.3820,158.31,4.1000,13.4365,0.2343
73,1.1408,2.5046,176.49,4.1000,14.9875,0.2226
74,1.2429,3.1422,176.65,3.1000,13.4375,0.2449
75,1.2633,2.9492,164.24,3.1000,9.1155,0.2694
76,1.0592,2.0617,174.14,3.1000,11.8165,0.2559
77,1.2020,2.9043,167.10,4.1000,16.5430,0.2431
78,1.3653,3.2203,167.61,4.1000,15.2875,0.2674
79,1.1816,2.8898,155.90,3.1000,12.5665,0.2942
80,1.4061,3.5412,175.53,3.1000,13.5155,0.2795
81,0.7531,1.0312,173.02,3.1000,12.5895,0.3074
82,0.9776,2.0925,168.16,3.1000,12.5205,0.3381
83,0.9776,2.2804,164.00,3.1000,12.8410,0.3212
84,1.0184,1.9243,176.39,3.1000,10.3525,0.3534
85,0.9367,1.9163,160.08,4.1000,14.9865,0.3357
86,1.0592,2.1020,169.69,3.1000,8.9465,0.3693
87,0.5694,0.0404,171.49,3.1000,9.9950,0.3508
88,0.8551,1.5878,172.94,3.1000,13.4670,0.3333
89,0.8959,1.7131,189.67,3.1000,12.4355,0.3666
90,0.9980,2.3236,171.02,3.1000,13.1435,0.3482
91,0.7939,1.4728,178.78,3.1000,12.0830,0.3831
92,1.1204,2.5940,174.73,4.1000,14.5625,0.3639
93,0.9163,1.8088,177.71,3.1000,11.4520,0.4003
94,0.9367,1.9059,171.12,3.1000,8.7580,0.4403
95,1.2020,3.3619,168.55,4.1000,16.8845,0.4183
96,0.6918,0.7448,170.78,3.1000,10.6460,0.4602
97,0.8959,1.3036,164.08,3.1000,12.8415,0.4371
98,0.8551,0.9947,176.37,4.1000,15.2310,0.4153
99,1.2020,2.5635,168.69,3.1000,11.2060,0.4568
100,0.8959,2.1073,161.02,3.1000,13.6850,0.4340
101,0.7939,1.1751,171.35,3.1000,12.9265,0.4774
102,0.8959,1.6803,180.86,4.1000,13.1035,0.4535
103,0.9367,2.1082,183.20,3.1000,13.1350,0.4308
104,0.7531,1.8384,155.73,3.1000,12.0360,0.4739
105,0.8959,1.9892,171.59,3.1000,12.8670,0.4502
106,0.8755,2.0361,165.78,4.1000,15.4035,0.4277
107,0.5490,-0.5013,183.98,3.1000,12.5320,0.4705
108,0.6510,0.7937,176.59,3.1000,13.2120,0.4470
109,0.8551,1.1913,190.96,3.1000,9.6245,0.4917
110,0.6714,1.2183,163.84,3.1000,13.1835,0.4671
111,0.6306,-0.0253,182.12,2.1000,7.8070,0.5000
112,0.8755,1.6754,152.14,3.1000,9.5445,0.4750
113,0.5898,0.5184,164.63,3.1000,9.5220,0.5000
114,0.6714,0.7220,171.04,3.1000,10.7465,0.4750
115,0.9367,1.9037,168.24,4.1000,14.6615,0.4512
116,0.5694,0.5113,176.51,3.1000,11.7825,0.4964
117,0.7735,1.1217,174.96,2.1000,10.5000,0.5000
118,0.5898,0.4257,165.86,2.1000,10.0735,0.5000
119,1.0388,2.3284,168.71,3.1000,9.6280,0.5000
120,0.8347,1.6798,172.80,3.1000,14.4660,0.4750
121,0.7122,1.4063,174.08,2.1000,9.1170,0.5000
122,1.0796,2.6140,174.76,3.1000,12.2635,0.4750
123,0.8143,1.3758,174.61,3.1000,11.0680,0.5000
124,1.0796,2.4544,176.92,4.1000,15.3205,0.4750
125,0.6510,0.4452,165.96,3.1000,8.9090,0.5000
126,1.0592,1.6108,169.41,3.1000,8.4480,0.5000
127,0.8551,1.1565,162.57,3.1000,12.3180,0.4750
128,0.7735,0.6373,172.63,3.1000,10.2120,0.5000
129,0.9163,0.6458,171.10,3.1000,10.1420,0.5000
130,0.9163,0.9372,174.12,3.1000,11.2275,0.4750
131,0.8755,0.6553,164.98,4.1000,15.8675,0.4512
132,0.9367,1.2990,171.65,3.1000,11.4030,0.4964
133,1.4265,3.3197,164.06,3.1000,12.7235,0.4716
134,1.3245,2.6522,176.29,3.1000,11.0775,0.5000
135,1.3041,2.5008,186.59,4.1000,12.8655,0.4750
136,1.1612,2.2422,178.20,4.1000,14.8695,0.4512
137,0.9163,2.3322,158.39,4.1000,13.3955,0.4964
138,0.8347,1.6129,165.63,4.1000,14.4950,0.4716
139,0.8755,2.2341,152.82,3.1000,13.2050,0.5000
140,0.8551,1.9316,163.69,3.1000,10.9280,0.5000
141,0.7327,1.7516,162.33,3.1000,14.1415,0.4750
142,0.9163,1.8754,159.88,3.1000,8.3245,0.5000
143,0.9776,1.9508,171.92,3.1000,13.7775,0.4750
144,1.2020,2.7094,168.14,3.1000,9.9260,0.5000
145,1.0592,1.6972,174.94,3.1000,12.8165,0.4750
146,1.0184,2.0483,172.84,4.1000,14.9195,0.4512
147,1.4061,3.2116,175.33,3.1000,12.1925,0.4964
148,1.4673,3.5913,184.43,4.1000,17.8065,0.4716
149,1.6306,4.5231,171.04,4.1000,13.5380,0.5000
150,1.3857,3.4471,178.39,4.1000,15.2265,0.4750
151,1.3041,3.1519,167.55,4.1000,12.6445,0.5000
152,1.2837,3.3717,159.45,3.1000,10.7900,0.5000
153,0.8551,1.4326,168.12,3.1000,12.7830,0.4750
154,0.8755,1.7837,165.76,3.1000,11.3980,0.5000
155,1.1000,2.5725,174.37,3.1000,13.4395,0.4750
156,1.1612,2.5270,182.80,3.1000,10.8205,0.5000
157,1.2224,3.0756,169.92,4.1000,14.5265,0.4750
158,1.0796,2.2871,176.84,3.1000,10.7680,0.5000
159,1.0796,2.2320,168.98,4.1000,11.3135,0.4750
160,1.1612,2.8620,168.73,3.1000,11.6485,0.4512
161,0.9776,2.0501,165.73,3.1000,13.6925,0.4287
162,1.4265,3.6534,178.73,4.1000,13.6445,0.4716
163,1.3041,3.2729,163.80,3.1000,13.0435,0.5000
164,1.0184,2.1367,172.98,3.1000,13.6925,0.4750
165,1.1000,2.6981,169.65,3.1000,12.8380,0.5000
166,1.1816,2.8175,173.06,3.1000,9.7010,0.5000
167,1.2837,3.2606,181.88,3.1000,12.0550,0.4750
168,1.0388,2.6336,169.80,3.1000,10.6215,0.5000
169,1.2429,3.4632,173.24,3.1000,12.3325,0.4750
170,1.1612,3.0564,170.69,3.1000,13.0850,0.4512
171,1.3449,3.1447,180.94,4.1000,13.9715,0.4287
172,1.1000,2.4420,174.65,4.1000,17.5580,0.4073
173,1.4469,3.6109,182.67,3.1000,11.0315,0.4480
174,1.3653,3.7582,166.16,4.1000,16.2570,0.4256
175,1.3653,3.4911,178.55,3.1000,13.5715,0.4681
176,1.5490,4.4607,164.41,3.1000,11.7315,0.5000
177,0.9163,1.9296,164.53,3.1000,11.1475,0.5000
178,1.2633,3.3427,179.90,3.1000,14.1140,0.4750
179,1.1408,2.7130,188.24,3.1000,13.0905,0.5000
180,1.2837,3.2043,178.57,3.1000,13.2505,0.4750
181,0.7531,0.7063,170.08,2.1000,8.7865,0.5000
182,0.9980,2.2126,171.61,3.1000,12.0790,0.4750
183,0.9571,2.0467,187.49,3.1000,14.1860,0.4512
184,1.0388,2.5619,165.12,3.1000,13.4040,0.4964
185,0.9571,2.0767,172.02,2.1000,8.7010,0.5000
186,0.7939,1.1966,179.59,2.1000,8.6565,0.5000
187,0.9571,1.7846,169.90,3.1000,13.2855,0.4750
188,1.2224,3.2737,171.55,4.1000,15.9375,0.4512
189,1.1408,2.6456,175.49,3.1000,14.1055,0.4964
190,1.4673,4.2074,178.43,4.1000,15.6355,0.4716
191,0.9776,2.0773,151.61,2.1000,9.1410,0.5000
192,1.3245,3.3863,168.57,4.1000,13.9870,0.4750
193,1.2837,3.2639,174.14,4.1000,14.2985,0.4512
194,0.9571,1.8161,173.49,3.1000,9.7180,0.4964
195,1.0184,1.7791,170.35,4.1000,14.4435,0.4716
196,0.9571,1.0296,175.59,4.1000,12.8015,0.5000
197,1.2020,1.8836,167.65,3.1000,10.3720,0.5000
198,1.2429,2.4032,176.98,3.1000,9.1830,0.5000
199,1.2633,2.6302,169.88,4.1000,13.7200,0.4750
200,0.8143,1.1152,167.88,4.1000,15.0000,0.4512
